date,exchange_rate
2009-01-03,0
2009-10-05,0.001
2010-05-22,0.0025
2010-07-18,0.09
2010-10-16,0.1
2010-11-06,0.36
2011-01-03,0.3
2011-01-09,0.32
2011-02-09,1
2011-04-23,1.1
2011-06-08,29
2011-07-18,13.5
2011-10-18,3.5
2011-12-31,4.7
2012-01-11,7.1
2012-03-15,4.9
2012-06-01,5.3
2012-08-15,11.6
2012-11-01,10.6
2012-12-31,13.5
2013-01-01,13.3
2013-04-10,180
2013-04-12,68
2013-07-04,77
2013-10-01,127
2013-11-30,1127
2013-12-31,757
2014-02-23,540
2014-06-01,629
2014-09-01,478
2014-12-31,318
2015-01-14,178
2015-06-01,230
2015-11-04,400
2015-12-31,430
2016-01-01,433
2016-06-01,537
2016-07-09,650
2016-12-31,963
2017-01-01,997
2017-05-01,1421
2017-08-01,2871
2017-09-01,4892
2017-12-17,19497
2017-12-31,13880
2018-01-01,13657
2018-02-06,6914
2018-06-01,7541
2018-11-25,3851
2018-12-31,3742
2019-01-01,3843
2019-04-02,4904
2019-06-26,12944
2019-09-01,9630
2019-12-31,7194
2020-01-01,7174
2020-03-12,4970
2020-05-11,8601
2020-09-01,11920
2020-11-01,13780
2020-12-31,28990
2021-01-01,29374
2021-02-21,57539
2021-04-14,63503
2021-07-20,29807
2021-10-20,65992
2021-11-10,68521
2021-12-31,46306
2022-01-01,47686
2022-03-01,44354
2022-06-01,31792
2022-09-01,20127
2022-11-21,15787
2022-12-31,16547
